Data;Hora;Chuva (mm);Nível (cm);Vazão (m3/s);
04/01/2024;19:45:00;0             ;64             ;5.1;
04/01/2024;20:00:00;0             ;64             ;5.1;
04/01/2024;20:15:00;0             ;63             ;5;
04/01/2024;20:30:00;0             ;63             ;5;
04/01/2024;20:45:00;0             ;63             ;5;
04/01/2024;21:00:00;0             ;64             ;5.1;
04/01/2024;21:15:00;0             ;63             ;5;
04/01/2024;21:30:00;0             ;63             ;5;
04/01/2024;21:45:00;0             ;63             ;5;
04/01/2024;22:00:00;0             ;63             ;5;
04/01/2024;22:15:00;0             ;63             ;5;
04/01/2024;22:30:00;0             ;63             ;5;
04/01/2024;22:45:00;0             ;63             ;5;
04/01/2024;23:00:00;0             ;63             ;5;
04/01/2024;23:15:00;0             ;63             ;5;
04/01/2024;23:30:00;0             ;63             ;5;
04/01/2024;23:45:00;0             ;63             ;5;
05/01/2024;00:00:00;0             ;63             ;5;
05/01/2024;00:15:00;0             ;63             ;5;
05/01/2024;00:30:00;0             ;63             ;5;
05/01/2024;00:45:00;0             ;63             ;5;
05/01/2024;01:00:00;0             ;63             ;5;
05/01/2024;01:15:00;0             ;63             ;5;
05/01/2024;01:30:00;0             ;63             ;5;
05/01/2024;01:45:00;0             ;63             ;5;
05/01/2024;02:00:00;0             ;63             ;5;
05/01/2024;02:15:00;0             ;63             ;5;
05/01/2024;02:30:00;0             ;63             ;5;
05/01/2024;02:45:00;0             ;63             ;5;
05/01/2024;03:00:00;0             ;63             ;5;
05/01/2024;03:15:00;0             ;63             ;5;
05/01/2024;03:30:00;0             ;63             ;5;
05/01/2024;03:45:00;0             ;63             ;5;
05/01/2024;04:00:00;0             ;63             ;5;
05/01/2024;04:15:00;0             ;64             ;5.1;
05/01/2024;04:30:00;0             ;64             ;5.1;
05/01/2024;04:45:00;0             ;64             ;5.1;
05/01/2024;05:00:00;0             ;64             ;5.1;
05/01/2024;05:15:00;0             ;64             ;5.1;
05/01/2024;05:30:00;0             ;64             ;5.1;
05/01/2024;05:45:00;0             ;64             ;5.1;
05/01/2024;06:00:00;0             ;64             ;5.1;
05/01/2024;06:15:00;0             ;64             ;5.1;
05/01/2024;06:30:00;0             ;64             ;5.1;
05/01/2024;06:45:00;0             ;64             ;5.1;
