timestamp,chuva_35235000_varzea_do_grosso,nivel_35235000_varzea_do_grosso,vazao_35235000_varzea_do_grosso,chuva_35255000_siarao,nivel_35255000_siarao,vazao_35255000_siarao,chuva_35275000_sobral,nivel_35275000_sobral,vazao_35275000_sobral,chuva_35283000_santana_do_acarau,nivel_35283000_santana_do_acarau,vazao_35283000_santana_do_acarau,distancia_35235000_varzea_do_grosso,distancia_35255000_siarao,distancia_35275000_sobral,distancia_35283000_santana_do_acarau
2023-02-22,2.4000000000000004,169.9375,5.5874999999999995,3.2,121.5,3.248958333333333,3.2,38.666666666666664,3.9333333333333336,19.599999999999998,58.4375,3.5541666666666667,8.1,34.9,59.8,88.3
2023-02-23,18.400000000000002,171.32291666666666,5.864583333333333,7.2,121.86458333333333,3.2864583333333335,6.2,38.760416666666664,3.9416666666666664,2.2,58.84375,3.5833333333333335,8.1,34.9,59.8,88.3
2023-02-24,0.6000000000000001,171.51041666666666,5.902083333333334,36.2,124.13541666666667,3.514583333333333,24.6,42.776562500000004,4.755208333333333,12.8,60.145833333333336,3.8041666666666667,8.1,34.9,59.8,88.3
2023-02-25,3.8,171.76041666666666,5.952083333333333,6.2,124.875,3.5968750000000003,4.8,50.275312500000005,6.235416666666667,19.2,68.04166666666667,5.220833333333333,8.1,34.9,59.8,88.3
2023-02-26,0.2,171.91666666666666,5.983333333333333,0.2,125.08333333333333,3.609375,0.2,48.164479166666666,5.748958333333333,1.0,79.94791666666667,7.903125,8.1,34.9,59.8,88.3
2023-02-27,0.0,170.82291666666666,5.764583333333333,1.4,124.1875,3.5187500000000003,0.8,46.38229166666667,5.3812500000000005,0.0,76.98958333333333,7.189583333333334,8.1,34.9,59.8,88.3
2023-02-28,0.0,169.95833333333334,5.592708333333333,0.2,123.19791666666667,3.419791666666667,0.0,43.583333333333336,4.816666666666667,2.0,70.25,5.6499999999999995,8.1,34.9,59.8,88.3
2023-03-01,0.0,171.11458333333334,5.822916666666667,0.0,121.94791666666667,3.294791666666667,0.0,41.916666666666664,4.483333333333333,0.0,65.34375,4.703125,8.1,34.9,59.8,88.3
2023-03-02,0.8,171.875,5.9750000000000005,0.0,122.20833333333333,3.3208333333333333,0.0,40.197916666666664,4.211458333333334,0.2,62.854166666666664,4.270833333333333,8.1,34.9,59.8,88.3
2023-03-03,67.0,174.22916666666666,6.404166666666666,27.4,124.66666666666667,3.591666666666667,27.400000000000002,44.541666666666664,5.013541666666667,23.6,64.21875,4.495833333333333,8.1,34.9,59.8,88.3
