timestamp,chuva_35235000_varzea_do_grosso,nivel_35235000_varzea_do_grosso,vazao_35235000_varzea_do_grosso,chuva_35255000_siarao,nivel_35255000_siarao,vazao_35255000_siarao,chuva_35275000_sobral,nivel_35275000_sobral,vazao_35275000_sobral,chuva_35283000_santana_do_acarau,nivel_35283000_santana_do_acarau,vazao_35283000_santana_do_acarau,dia_sin,dia_cos,distancia_35235000_varzea_do_grosso,distancia_35255000_siarao,distancia_35275000_sobral,distancia_35283000_santana_do_acarau
2021-01-01,0.0,160.0,3.2,0.0,128.6086956521739,2.6913043478260867,0.0,42.0,4.1,0.0,67.24489795918367,3.851530612244898,0.01716632975470737,0.9998526477050269,8.1,34.9,59.8,88.3
2021-01-02,0.0,159.577873254565,3.115574650912997,0.0,127.0204081632653,2.5020408163265304,0.0,42.0,4.1,0.0,65.52551020408163,3.4888775510204084,0.034327600513243496,0.9994106342455052,8.1,34.9,59.8,88.3
2021-01-03,0.0,159.922126745435,3.1844253490870034,0.0,126.0,2.4,0.0,42.0,4.1,0.0,66.83673469387755,3.7729591836734695,0.05147875477034653,0.9986740898848305,8.1,34.9,59.8,88.3
2021-01-04,4.0,159.577873254565,3.115574650912997,0.2,126.0,2.4,5.2,42.0,4.1,0.0,67.46938775510205,3.878571428571428,0.06861473800213404,0.9976432316860063,8.1,34.9,59.8,88.3
2021-01-05,0.0,159.5,3.1,0.0,125.51020408163265,2.351020408163265,1.6,42.0,4.1,0.0,68.39795918367346,4.039795918367346,0.08573050015569435,0.9963183634476755,8.1,34.9,59.8,88.3
2021-01-06,0.0,159.5,3.1,0.0,125.0,2.3,0.0,42.0,4.1,7.0,68.4795918367347,4.0377551020408164,0.1028209971373604,0.9946998756145891,8.1,34.9,59.8,88.3
2021-01-07,14.600000000000001,159.922126745435,3.1844253490870034,0.0,125.48979591836735,2.3489795918367347,0.0,42.0,4.1,6.3999999999999995,67.21428571428571,3.843877551020408,0.11988119229922722,0.99278824516254,8.1,34.9,59.8,88.3
2021-01-08,0.0,159.577873254565,3.115574650912997,0.0,125.93233082706767,2.393233082706767,0.0,42.0,4.1,0.0,67.0765306122449,3.8183673469387753,0.13690605792347524,0.990584035457797,8.1,34.9,59.8,88.3
2021-01-09,0.0,159.5,3.1,0.0,125.07787325456498,2.3077873254564985,0.0,42.0,4.1,0.0,67.10204081632654,3.829081632653061,0.15389057670406178,0.9880878960910772,8.1,34.9,59.8,88.3
2021-01-10,0.0,159.922126745435,3.1844253490870034,0.0,125.0,2.3,0.0,42.0,4.1,0.0,67.43367346938776,3.885204081632653,0.17082974322534417,0.985300562686109,8.1,34.9,59.8,88.3
2021-01-11,0.0,159.577873254565,3.115574650912997,0.0,125.06766917293233,2.306766917293233,0.0,41.02040816326531,3.9040816326530607,0.0,67.81632653061224,3.9443877551020408,0.1877185654371987,0.9822228566828407,8.1,34.9,59.8,88.3
2021-01-12,0.0,159.5,3.1,0.0,125.92212674543502,2.3922126745435013,0.0,40.0,3.7,0.0,67.30102040816327,3.8114285714285714,0.2045520661262008,0.9788556850953578,8.1,34.9,59.8,88.3
2021-01-13,0.0,159.5,3.1,1.4,125.51020408163265,2.351020408163265,0.0,40.0,3.7,0.0,66.69897959183673,3.7448979591836733,0.22132528438243257,0.9752000402445825,8.1,34.9,59.8,88.3
2021-01-14,0.0,159.5,3.1,0.0,125.06766917293233,2.306766917293233,0.0,40.0,3.7,9.6,66.64795918367346,3.73265306122449,0.2380332770614856,0.9712569994658314,8.1,34.9,59.8,88.3
2021-01-15,0.0,159.5,3.1,0.0,125.92212674543502,2.3922126745435013,0.0,40.0,3.7,0.0,66.42857142857143,3.698469387755102,0.2546711202412287,0.9670277247913204,8.1,34.9,59.8,88.3
2021-01-16,0.0,159.077873254565,3.0577873254564985,0.0,125.51020408163265,2.351020408163265,0.0,40.0,3.7,0.0,67.25,3.851020408163265,0.27123391067291003,0.9625134626077081,8.1,34.9,59.8,88.3
2021-01-17,0.0,159.422126745435,3.092212674543502,1.2,125.06766917293233,2.306766917293233,3.2,40.0,3.7,0.0,67.73469387755102,3.938775510204082,0.287716767226167,0.9577155432887803,8.1,34.9,59.8,88.3
2021-01-18,0.0,159.5,3.1,0.0,125.92212674543502,2.3922126745435013,0.0,40.27067669172932,3.7473684210526317,0.4,68.61224489795919,4.055612244897959,0.30411483232751785,0.9526353808033826,8.1,34.9,59.8,88.3
2021-01-19,6.6,159.56766917293234,3.1067669172932333,25.0,126.0,2.4,6.2,43.68850698174007,4.345488721804512,42.8,71.07142857142857,4.532653061224489,0.3204232733919111,0.9472744722987169,8.1,34.9,59.8,88.3
2021-01-20,8.6,161.26638023630505,3.3188506981740065,1.8,125.51020408163265,2.351020408163265,11.200000000000001,44.97959183673469,4.595918367346939,4.6000000000000005,71.94897959183673,4.692857142857143,0.33663728424691025,0.9416343976591259,8.1,34.9,59.8,88.3
2021-01-21,3.8,161.01020408163265,3.3010204081632653,4.8,125.48979591836735,2.3489795918367347,2.4000000000000004,46.97959183673469,4.995918367346939,6.0,73.33673469387755,5.012244897959184,0.3527520865490948,0.9357168190404936,8.1,34.9,59.8,88.3
2021-01-22,0.4,160.1455424274973,3.2145542427497316,0.4,126.13533834586465,2.413533834586466,0.0,48.0,5.2,0.0,72.73469387755102,4.879081632653062,0.3687629311922601,0.9295234803804003,8.1,34.9,59.8,88.3
