timestamp,chuva_35235000_varzea_do_grosso,nivel_35235000_varzea_do_grosso,vazao_35235000_varzea_do_grosso,chuva_35255000_siarao,nivel_35255000_siarao,vazao_35255000_siarao,chuva_35275000_sobral,nivel_35275000_sobral,vazao_35275000_sobral,chuva_35283000_santana_do_acarau,nivel_35283000_santana_do_acarau,vazao_35283000_santana_do_acarau,dia_sin,dia_cos,distancia_35235000_varzea_do_grosso,distancia_35255000_siarao,distancia_35275000_sobral,distancia_35283000_santana_do_acarau
2022-01-29,0.0,147.60416666666666,2.160416666666667,0.0,139.25,5.430208333333333,0.2,44.385416666666664,3.9322916666666665,0.2,75.125,3.3979166666666667,0.47753588643748823,0.8786122450571483,8.1,34.9,59.8,88.3
2022-01-30,0.0,147.42708333333334,2.140625,0.0,139.71875,5.46484375,0.0,57.427083333333336,6.590625,0.8,70.84375,2.7697916666666664,0.4925480679538643,0.8702852410301553,8.1,34.9,59.8,88.3
2022-01-31,0.0,147.29166666666666,2.125,0.0,135.171875,4.875260416666667,0.0,59.9375,7.108333333333333,0.0,79.625,4.158333333333333,0.5074150932938455,0.8617017599480682,8.1,34.9,59.8,88.3
2022-02-01,0.0,147.09375,2.1083333333333334,0.0,129.609375,4.197395833333333,0.0,55.489583333333336,6.1187499999999995,0.0,81.75,4.55,0.5221325810768248,0.8528643314021597,8.1,34.9,59.8,88.3
2022-02-02,0.0,145.29591836734693,1.7591836734693878,0.0,118.61224489795919,2.8760204081632654,1.6,50.35204081632653,5.070408163265306,11.4,79.31122448979592,4.06734693877551,0.5366961939916004,0.8437755598231856,8.1,34.9,59.8,88.3
2022-02-03,0.0,145.0,1.7,0.8,116.80816326530613,2.6808163265306124,0.2,45.30612244897959,4.104081632653061,0.8,77.63265306122449,3.813265306122449,0.5511016400746002,0.8344381237138473,8.1,34.9,59.8,88.3
2022-02-04,0.0,144.66326530612244,1.6326530612244898,0.0,115.37551020408162,2.5375510204081633,0.0,41.12244897959184,3.3857142857142857,0.2,73.5765306122449,3.163775510204082,0.5653446739747429,0.8248547748594244,8.1,34.9,59.8,88.3
2022-02-05,0.0,146.26530612244898,1.926530612244898,10.0,114.0,2.4,5.6000000000000005,39.69897959183673,3.1892857142857145,0.6000000000000001,69.31632653061224,2.556122448979592,0.5794210982045637,0.8150283375168114,8.1,34.9,59.8,88.3
2022-02-06,0.0,148.23469387755102,2.223469387755102,0.0,113.0204081632653,2.3020408163265307,0.0,37.27040816326531,2.8081632653061224,0.0,66.6938775510204,2.2357142857142858,0.593326764377232,0.8049617075821959,8.1,34.9,59.8,88.3
2022-02-07,0.0,146.10714285714286,1.8607142857142858,0.0,109.90547798066595,1.990547798066595,0.0,35.857142857142854,2.604081632653061,0.0,63.51020408163265,1.8510204081632653,0.6070575744291002,0.7946578517376252,8.1,34.9,59.8,88.3
2022-02-08,0.0,142.6530612244898,1.3306122448979592,0.0,104.19656283566057,1.419656283566058,0.0,33.724489795918366,2.287755102040816,2.6,61.62755102040816,1.6627551020408162,0.6206094818274227,0.7841198065767104,8.1,34.9,59.8,88.3
2022-02-09,0.0,142.23979591836735,1.2479591836734694,4.0,101.51020408163265,1.2,27.2,36.83673469387755,2.8020408163265307,0.0,61.43877551020408,1.643877551020408,0.6339784927628866,0.7733506777097299,8.1,34.9,59.8,88.3
2022-02-10,2.2,142.3826530612245,1.2724489795918366,16.8,101.0,1.2,0.0,33.673469387755105,2.3010204081632653,0.2,63.857142857142854,1.9285714285714286,0.647160667326606,0.7623536388483904,8.1,34.9,59.8,88.3
2022-02-11,0.0,145.5204081632653,1.7846938775510204,0.0,101.203007518797,1.2135338345864661,0.0,31.642857142857142,2.063265306122449,0.0,61.83673469387755,1.6948979591836735,0.6601521206712317,0.7511319308705199,8.1,34.9,59.8,88.3
2022-02-12,0.0,153.6326530612245,2.937755102040816,0.0,103.63104189044039,1.3708915145005371,0.0,30.040816326530614,1.8081632653061226,0.0,57.785714285714285,1.3520408163265305,0.6729490241558329,0.7396888608649668,8.1,34.9,59.8,88.3
2022-02-13,0.0,157.85204081632654,3.563265306122449,0.4,102.15574650912997,1.2155746509129968,1.5999999999999999,32.54081632653061,2.1714285714285717,0.0,56.16836734693877,1.2168367346938775,0.6855476064742154,0.7280278011569848,8.1,34.9,59.8,88.3
2022-02-14,0.0,157.7704081632653,3.55,0.0,102.9795918367347,1.2979591836734692,0.8,40.234693877551024,3.2653061224489797,2.2,56.82142857142857,1.2760204081632653,0.6979441547663435,0.7161521883143933,8.1,34.9,59.8,88.3
2022-02-15,1.2,157.53608247422682,3.5123711340206185,0.0,112.95876288659794,2.33659793814433,0.0,45.52577319587629,4.1226804123711345,0.0,61.29896907216495,1.6298969072164948,0.7101350157125358,0.7040655221348057,8.1,34.9,59.8,88.3
2022-02-16,0.8,157.95833333333334,3.5656250000000003,0.2,125.78125,3.6812500000000004,0.0,47.395833333333336,4.479166666666667,0.0,64.86458333333333,2.004166666666667,0.7221165966101162,0.6917713646142218,8.1,34.9,59.8,88.3
2022-02-17,0.0,158.08333333333334,3.5812500000000003,0.0,126.07291666666667,3.733333333333334,0.0,48.239583333333336,4.647916666666666,5.0,66.61458333333333,2.261458333333333,0.733885366432199,0.6792733388972931,8.1,34.9,59.8,88.3
2022-02-18,0.0,157.58333333333334,3.50625,5.0,125.70833333333333,3.6791666666666667,0.0,48.708333333333336,4.741666666666666,0.2,67.57291666666667,2.3572916666666663,0.7454378568683001,0.6665751282095632,8.1,34.9,59.8,88.3
2022-02-19,0.0,145.46875,1.7708333333333333,3.6,122.58333333333333,3.334375,7.8,49.875,4.9750000000000005,10.2,68.52083333333333,2.4520833333333334,0.7567706633464626,0.653680474772006,8.1,34.9,59.8,88.3
2022-02-20,12.6,141.36458333333334,1.0791666666666666,0.0,109.86458333333333,1.9864583333333332,19.6,48.427083333333336,4.685416666666667,0.0,69.32291666666667,2.5375,0.7678804460366,0.6405931786981751,8.1,34.9,59.8,88.3
